Company,Shares,Value(in Crs),Frequency
Federal Bank,263282,2.48,59
NCC,91650817,1181.42,58
J. K. Cement,7522414,762.15,57
Guj State Petro,195286,4.05,52
Max Financial,43371954,1394.7,49
Ramco Cements,17027909,1265.87,48
Exide Ind,536256,11.11,48
Cholamandalam,4770315,698.14,47
Repco Home,9654439,534.41,46
Schaeffler Ind,2206979,1188.6,45
V-Guard Ind,35527761,836.64,44
Timken,6025310,473.2,44
Navin Fluorine,8925556,704.36,43
City Union Bank,451670,7.89,43
Bajaj Finance,1008580,165.43,42
Voltas,17126265,1050.17,41
DCB Bank,61012266,997.88,41
Kalpataru Power,11645090,573.8,41
Rane Holdings,2063912,522.39,41
Grindwell Norto,9369412,476.22,41
INOX Leisure,13286990,362.21,41
Khadim India,3096533,219.29,41
NRB Bearings,11801131,186.75,41
ITD Cementation,51755,0.93,41
Johnson Control,1867749,429.47,40
MM Forgings,1397246,149.16,40
Arrow Greentech,186472,7.43,40
Mahindra CIE,33929991,841.18,39
Blue Star,441,0.03,39
WABCO India,1345734,1084.44,37
Ashoka Buildcon,23174434,533.3,37
Coromandel Int,1198,0.07,37
M&M; Financial,22218434,975.6,36
Cyient,11459346,759.61,36
HSIL,12075662,530.95,36
MRF,41520,304.52,36
S Chand and Co,2226011,101.83,36
Mcleod,5048604,83.28,36
AIA Engineering,127067,18.29,36
Ujjivan Financi,12566355,472.8,35
Capacite Infra,3822939,123.44,35
Heritage Foods,563788,38.39,35
India Cements,41008386,631.24,34
Minda Ind,2575672,286.76,34
KEI Industries,1020392,39.59,34
SRF,77834,14.76,34
Techno Electric,1397,0.05,34
Va Tech Wabag,8801995,476.87,33
CenturyPlyboard,13069169,430.09,33
Arvind,28544128,1150.22,32
Thermax,3969195,455.21,32
Subros,3706128,114.04,32
Supreme Ind,108346,12.88,32
Navneet,791064,11.2,32
Motherson Sumi,68271,2.25,32
Atul,273,0.07,32
Whirlpool,6818520,1008.87,31
Himatsingka Sei,9240279,324.21,31
Thyrocare Techn,3938565,241.47,31
Heidelberg Cem,9749983,155.35,31
TI Financial,26360358,1416.66,30
IGL,31440561,946.05,30
Premier Explo,588973,22.82,30
KPR Mill,859,0.05,30
PI Industries,405,0.03,30
RBL Bank,28978942,1402.33,29
Bayer CropScien,2220365,861.45,29
Bata India,11603925,847.01,29
Vardhman Text,6409305,809.48,29
Mahindra Holida,17567573,512.64,29
Quess Corp,1593559,164.83,29
Bharat Elec,1724,0.02,29
Finolex Cables,20672002,1406.01,28
Emami,7569897,816.81,28
Dollar Ind,4085542,187,28
RPP Infra Proj,689721,20.65,28
Bank of Baroda,1267007,17.99,28
Dixon Technolog,160,0.05,28
Apollo Tyres,51645358,1424.26,27
Trent,34024959,1117.22,27
Karur Vysya,86603694,893.95,27
CESC,4714350,471.53,27
Praj Industries,19298188,175.13,27
KSB Pumps,1590636,126.69,27
PNC Infratech,7305088,121.6,27
Asian Granito,2072307,101.54,27
Redington,1238034,17.84,27
Tata Chemicals,24545906,1721.82,26
Apollo Hospital,6417202,751.35,26
ABB India,2695463,401.69,26
GlaxoSmith Con,551656,368.19,26
Petronet LNG,10343553,248.46,26
Kotak Mahindra,114492,12.49,26
Indian Hotels,66167513,868.88,25
PVR,2583173,336.35,25
Kansai Nerolac,2694430,132.46,25
Astra Microwave,10414338,94.66,25
Rallis India,1009167,23.62,25
EngineersInd,42833460,729.05,24
Jindal Steel,23964342,609.66,24
NIIT Tech,3987620,344.67,24
AU Small Financ,2400064,141.88,24
Kennametal,1372577,100.68,24
IndusInd Bank,74258,12.49,24
Ipca Labs,18438928,1221.1,23
Indian Bank,29568383,937.65,23
Bharat Fin,7241590,750.57,23
ISGEC Heavy Eng,41100,30.68,23
Tata Global Bev,44900603,1235.64,22
P and G,1094220,1032.03,22
HPCL,19594182,732.53,22
Century,3475741,421.41,22
Sundaram Fin,2551017,405.1,22
Bajaj Finserv,630397,323.4,22
Clariant Chem,1897782,101.99,22
Ador Welding,1587324,62.93,22
